run_id,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,fidelity,eps_L,purity,bloch_r
M1_N2_dephase_z_iid_p_p0.01000_twirl,1,1,1,2,1,dephase_z,iid_p,0.01,0.01,0.9900999999999996,0,True,0.9948995051004949,0.0051004948995049,0.9898510402974297,0.9897990102009898
M1_N2_dephase_z_iid_p_p0.10000_twirl,1,1,1,2,1,dephase_z,iid_p,0.1,0.1,0.9099999999999993,0,True,0.9395604395604396,0.0604395604395602,0.8864267600531338,0.8791208791208792
M1_N2_dephase_z_iid_p_p0.20000_twirl,1,1,1,2,1,dephase_z,iid_p,0.2,0.2,0.8399999999999993,0,True,0.857142857142857,0.1428571428571426,0.7551020408163266,0.7142857142857144
M1_N2_dephase_z_iid_p_p0.30000_twirl,1,1,1,2,1,dephase_z,iid_p,0.3,0.3,0.7899999999999997,0,True,0.7531645569620251,0.2468354430379745,0.6281845858035572,0.5063291139240507
M1_N2_dephase_z_iid_p_p0.40000_twirl,1,1,1,2,1,dephase_z,iid_p,0.4,0.4,0.7599999999999997,0,True,0.6315789473684209,0.3684210526315788,0.5346260387811634,0.2631578947368421
M1_N2_dephase_z_iid_p_p0.50000_twirl,1,1,1,2,1,dephase_z,iid_p,0.5,0.5,0.75,0,True,0.4999999999999999,0.4999999999999999,0.4999999999999999,1.8503717077085936e-16
M1_N2_dephase_z_iid_p_p0.60000_twirl,1,1,1,2,1,dephase_z,iid_p,0.6,0.6,0.7599999999999997,0,True,0.3684210526315788,0.631578947368421,0.5346260387811634,0.2631578947368421
M1_N2_dephase_z_iid_p_p0.70000_twirl,1,1,1,2,1,dephase_z,iid_p,0.7,0.7,0.7899999999999999,0,True,0.2468354430379747,0.7531645569620251,0.6281845858035572,0.5063291139240504
M1_N2_dephase_z_iid_p_p0.80000_twirl,1,1,1,2,1,dephase_z,iid_p,0.8,0.8,0.8399999999999993,0,True,0.1428571428571427,0.8571428571428571,0.7551020408163266,0.7142857142857144
M1_N2_dephase_z_iid_p_p0.90000_twirl,1,1,1,2,1,dephase_z,iid_p,0.9,0.9,0.9099999999999993,0,True,0.0604395604395604,0.9395604395604394,0.8864267600531338,0.8791208791208791
